"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS","GOBP_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS","GOBP_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS",41,-0.83998502613553,-2.48676266673006,6.85960582708834e-07,0.00589674582249271,0.00569058458139823,65,"tags=7%, list=0%, signal=7%","ENSDARG00000016706/ENSDARG00000075395/ENSDARG00000032469"
"GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS","GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS","GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS",23,-0.923850886840108,-2.46320931771051,5.01210801361478e-07,0.00589674582249271,0.00569058458139823,65,"tags=13%, list=0%, signal=13%","ENSDARG00000016706/ENSDARG00000075395/ENSDARG00000032469"
"GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS","GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS","GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS",182,-0.606807082857697,-2.26852873868023,2.82162788342069e-07,0.00589674582249271,0.00569058458139823,65,"tags=4%, list=0%, signal=4%","ENSDARG00000069279/ENSDARG00000098453/ENSDARG00000068910/ENSDARG00000078619/ENSDARG00000016706/ENSDARG00000075395/ENSDARG00000052223/ENSDARG00000032469"
"MODULE_243","MODULE_243","MODULE_243",67,0.813370731311016,2.39545411418709,3.79300404123371e-06,0.0195635562438752,0.018879577799345,8,"tags=3%, list=0%, signal=3%","ENSDARG00000056108/ENSDARG00000008255"
"GOBP_LEUKOCYTE_PROLIFERATION","GOBP_LEUKOCYTE_PROLIFERATION","GOBP_LEUKOCYTE_PROLIFERATION",229,0.617107883862985,2.07733693197879,3.62524859738178e-06,0.0195635562438752,0.018879577799345,2066,"tags=18%, list=9%, signal=16%","ENSDARG00000098386/ENSDARG00000007723/ENSDARG00000102434/ENSDARG00000074302/ENSDARG00000078147/ENSDARG00000093750/ENSDARG00000043249/ENSDARG00000009087/ENSDARG00000019742/ENSDARG00000076586/ENSDARG00000098700/ENSDARG00000004763/ENSDARG00000015752/ENSDARG00000042130/ENSDARG00000105674/ENSDARG00000027391/ENSDARG00000092204/ENSDARG00000052158/ENSDARG00000042440/ENSDARG00000039269/ENSDARG00000038878/ENSDARG00000088022/ENSDARG00000098231/ENSDARG00000039351/ENSDARG00000042725/ENSDARG00000104693/ENSDARG00000055163/ENSDARG00000063050/ENSDARG00000001807/ENSDARG00000091377/ENSDARG00000016439/ENSDARG00000078643/ENSDARG00000091003/ENSDARG00000037099/ENSDARG00000059906/ENSDARG00000074371/ENSDARG00000041060/ENSDARG00000054968/ENSDARG00000077768/ENSDARG00000035253/ENSDARG00000035533"
"MODULE_42","MODULE_42","MODULE_42",25,0.907129035484472,2.2895631967333,9.47680240448583e-06,0.0407328762015475,0.0393087788156594,2,"tags=4%, list=0%, signal=4%","ENSDARG00000056108"
"HP_EXERCISE_INDUCED_MYALGIA","HP_EXERCISE_INDUCED_MYALGIA","HP_EXERCISE_INDUCED_MYALGIA",25,-0.895486257105966,-2.41359750099431,1.1233411455138e-05,0.0413854925737936,0.0399385785013276,2,"tags=8%, list=0%, signal=8%","ENSDARG00000069937/ENSDARG00000032469"
