"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOCC_PHOTORECEPTOR_INNER_SEGMENT","GOCC_PHOTORECEPTOR_INNER_SEGMENT","GOCC_PHOTORECEPTOR_INNER_SEGMENT",57,0.814841426311245,2.30690859851145,1.42085409932575e-06,0.033772119021616,0.0335779891675392,4,"tags=4%, list=0%, signal=4%","ENSDARG00000052223/ENSDARG00000100506"
"GOBP_DETECTION_OF_LIGHT_STIMULUS","GOBP_DETECTION_OF_LIGHT_STIMULUS","GOBP_DETECTION_OF_LIGHT_STIMULUS",62,0.795800173638596,2.27952849966335,2.61779079308705e-06,0.033772119021616,0.0335779891675392,919,"tags=11%, list=4%, signal=11%","ENSDARG00000052223/ENSDARG00000100506/ENSDARG00000007480/ENSDARG00000039534/ENSDARG00000078331/ENSDARG00000044862/ENSDARG00000053929"
"GNF2_SPINK1","GNF2_SPINK1","GNF2_SPINK1",16,0.93565163647484,2.09415902483719,5.60538388611494e-06,0.0482100383431792,0.0479329160310552,920,"tags=88%, list=4%, signal=84%","ENSDARG00000052779/ENSDARG00000093844/ENSDARG00000056744/ENSDARG00000017490/ENSDARG00000010146/ENSDARG00000079274/ENSDARG00000068680/ENSDARG00000045442/ENSDARG00000009153/ENSDARG00000018263/ENSDARG00000042993/ENSDARG00000021339/ENSDARG00000073742/ENSDARG00000030915"
