Filename,MD5_Checksum
CT_Cut_0_1_1.fq.gz,5f9dd5d9f729d2ec3ac348545398e9d0
CT_Cut_0_1_2.fq.gz,e1037fc910b2d40d89ef941daf7a2986
CT_Cut_0_2_1.fq.gz,b07ea4c882ba8abf367f0b6088d9f8f2
CT_Cut_0_2_2.fq.gz,26d493084c27bbb17954807ac59594c2
CT_Cut_0_3_1.fq.gz,0f80d505d1dee070b68afea8da47e8b1
CT_Cut_0_3_2.fq.gz,b1e0d58aa3fd2e403392ae4bf26ad623
CT_Cut_0_4_1.fq.gz,128afa11b4ad93a30f0bfd567fd247f1
CT_Cut_0_4_2.fq.gz,8e8144dee472656b60a910a44c4ae56f
CT_Cut_100_1_1.fq.gz,c3475e057fe768016f1841e08f761d05
CT_Cut_100_1_2.fq.gz,c6f290e0978eaf0acb6f520666038a2d
CT_Cut_100_2_1.fq.gz,9a78f26284498ce1b889efd5333c4591
CT_Cut_100_2_2.fq.gz,40078e3809b7b64e3d3055db47a6e4ff
CT_Cut_100_3_1.fq.gz,16a1fee72ec619df21fdedc0564070d9
CT_Cut_100_3_2.fq.gz,3c04fe025ff61aa7121716e344b90be5
CT_Cut_100_4_1.fq.gz,6565970aab75fe8fa9df54b9f64986a6
CT_Cut_100_4_2.fq.gz,c9c99e310052b782e7c14ba7eac37ceb
CT_Cut_5_1_1.fq.gz,54c81ff2510f52534984e27c93742e1a
CT_Cut_5_1_2.fq.gz,0693a2f378b8a996e0fcd49460312b3a
CT_Cut_5_2_1.fq.gz,765bd2102599a1880ed3b2a275bf3b54
CT_Cut_5_2_2.fq.gz,c1a880716c2ec4725f844b0e499d54d5
CT_Cut_5_3_1.fq.gz,f27f73690d2cb72e23fd859eefdd0828
CT_Cut_5_3_2.fq.gz,6dee9ca00f6bd729786eda83040139c5
CT_Cut_5_4_1.fq.gz,e952e8e0ead59fceac40af461ab0ce34
CT_Cut_5_4_2.fq.gz,ae1f935464db3853af8cc953b4010125
CT_Uncut_0_1_1.fq.gz,a4b3ae37a0023caaf1531940a74f7428
CT_Uncut_0_1_2.fq.gz,030bfc6c89dd5cd0fe00a9575c32db5b
CT_Uncut_0_2_1.fq.gz,d24363264747ac15c8b0ba7eafe4ca2b
CT_Uncut_0_2_2.fq.gz,fb65dd347a0370ec70d1c4e753f99371
CT_Uncut_0_3_1.fq.gz,65336900dc4274bf047959aebaff71ff
CT_Uncut_0_3_2.fq.gz,51439d4a9ab332813d709edff35ac592
CT_Uncut_0_4_1.fq.gz,3a4f2b324fed513d9d993177a0e9aa5f
CT_Uncut_0_4_2.fq.gz,4461df346999b299424b8b91756c42ad
