"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000099104",9145.25111297286,-0.224349589194402,0.20962268294853,-1.07025435434145,0.284504834348188,0.999832103467015
"ENSDARG00000102407",172.690783242656,-0.0936826683173368,0.249518116518227,-0.375454374313913,0.707322572647635,0.999832103467015
"ENSDARG00000102097",131.643977197339,-0.148893879933796,0.417845407620358,-0.356337241521334,0.721588022579165,0.999832103467015
"ENSDARG00000099640",223.120954535134,-0.168318619993248,0.246240332903821,-0.6835542252901,0.49425669797712,0.999832103467015
"ENSDARG00000104071",187.829473374891,-0.257752704300143,0.21431204642474,-1.20269816186305,0.229093145494012,0.999832103467015
"ENSDARG00000102746",425.234627471101,-0.188467136968812,0.135389565035382,-1.39203591443372,0.163911522690446,0.999832103467015
"ENSDARG00000103929",420.027634799916,-0.209630168846793,0.170152836290827,-1.23201101678076,0.217944968829632,0.999832103467015
"ENSDARG00000101073",42.6824501960587,0.0876498217386999,0.323214366330425,0.271181701277148,0.786251286114229,0.999832103467015
"ENSDARG00000100223",1298.91668880184,-0.0869366304673778,0.103749565783732,-0.837946933181382,0.40206050803863,0.999832103467015
"ENSDARG00000100782",95.1847466407297,0.176077981812463,0.281695809129223,0.625064257635761,0.531928885248312,0.999832103467015
"ENSDARG00000034862",142.522528265494,-0.112606030843426,0.163889932119015,-0.687083272214994,0.49203025480955,0.999832103467015
"ENSDARG00000075827",98.4683658423176,-0.10260672496155,0.211955061623834,-0.484096601305285,0.628317313217814,0.999832103467015
"ENSDARG00000088581",1169.01271251298,-0.2007737526629,0.154225491042436,-1.30181950665766,0.192978093878958,0.999832103467015
"ENSDARG00000076900",59.5978512354586,-0.114097240770876,0.293384076232573,-0.388900591456875,0.697349684625127,0.999832103467015
"ENSDARG00000013802",240.715838566513,-0.402396405277221,0.143259631129897,-2.80886110136888,0.00497170916144536,0.508959041034117
"ENSDARG00000096578",538.138281277252,-0.0477805193627086,0.114742946406602,-0.416413564920967,0.677107404031831,0.999832103467015
"ENSDARG00000109848",2.49117238379299,2.03803235219034,1.19668938976033,1.70305876330909,0.0885570719617149,0.999832103467015
"ENSDARG00000100181",156.666078232602,0.12216394548786,0.154313002257738,0.791663331673232,0.428557008449127,0.999832103467015
"ENSDARG00000029936",158.515277760382,-0.0652771330467691,0.275523937951142,-0.236920006051687,0.812718849199623,0.999832103467015
"ENSDARG00000041589",32.2740556372751,0.0599713503623188,0.320455908983284,0.187143843134586,0.851547853504785,0.999832103467015
"ENSDARG00000041592",396.70001423631,0.0227572991343456,0.11741390381788,0.193821160819627,0.846315917262556,0.999832103467015
"ENSDARG00000075108",76.0228612746707,-0.104431152853095,0.284149793222276,-0.367521481078128,0.713230071659902,0.999832103467015
"ENSDARG00000016304",223.265221372818,-0.192356173054768,0.193666600944365,-0.993233588635275,0.320596133164646,0.999832103467015
"ENSDARG00000058803",451.222949050754,-0.0564457485346567,0.154041775550543,-0.366431432855927,0.714043168290514,0.999832103467015
"ENSDARG00000063385",1128.22953967403,-0.145952706172463,0.155761188720766,-0.937028712807998,0.348743788570265,0.999832103467015
"ENSDARG00000007804",335.094712988125,-0.270232422643306,0.201884358336697,-1.33855056860136,0.180717027477558,0.999832103467015
"ENSDARG00000068261",259.92313357825,-0.00862614436092046,0.201576518940127,-0.0427933987861088,0.965866226176431,0.999832103467015
"ENSDARG00000063371",515.159570283327,-0.123925123334996,0.144133347681052,-0.859794942175529,0.389902087826579,0.999832103467015
"ENSDARG00000078751",830.914207769445,-0.11122875897103,0.10814946656674,-1.02847256211282,0.303727591015595,0.999832103467015
"ENSDARG00000078878",9.95754471269815,0.175365734262928,0.542508773815507,0.323249581807806,0.746506233830325,0.999832103467015
"ENSDARG00000016343",136.885813828004,-0.124922941328737,0.156566691181772,-0.797889642974586,0.424934534184118,0.999832103467015
